var,description
"hj_a_jobs_3_3","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - Retail salesperson - Years until high chance (90%)"
"hj_a_jobs_4_1","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - AI researcher - Years until small chance (10%)"
"hj_a_jobs_4_2","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - AI researcher - Years until even chance (50%)"
"hj_a_jobs_4_3","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how many years you think will pass before the following present-day occupations will be fully automatable. Please tell us your best guess of when you think there will be a small chance (10% chance), a roughly even chance (50% chance), and a high chance (90% chance). - AI researcher - Years until high chance (90%)"
"hj_a_final","What is an existing human occupation that you think will be among the final ones to be fully automatable?Remember to consider feasibility, not adoption."
"hj_a_final_pred_1","How many years do you expect to pass before you think there is a small/even/high chance that this occupation will be fully automatable? - Small chance (10%)"
"hj_a_final_pred_2","How many years do you expect to pass before you think there is a small/even/high chance that this occupation will be fully automatable? - Even chance (50%)"
"hj_a_final_pred_3","How many years do you expect to pass before you think there is a small/even/high chance that this occupation will be fully automatable? - High chance (90%)"
"hj_a_full_1","Say we have reached ‘full automation of labor’ when all occupations are fully automatable. That is, when for any occupation, machines could be built to carry out the task better and more cheaply than human workers.In how many years do you expect full automation of labor, with small/even/high chance? - Small chance (10%)"
"hj_a_full_2","Say we have reached ‘full automation of labor’ when all occupations are fully automatable. That is, when for any occupation, machines could be built to carry out the task better and more cheaply than human workers.In how many years do you expect full automation of labor, with small/even/high chance? - Even chance (50%)"
"hj_a_full_3","Say we have reached ‘full automation of labor’ when all occupations are fully automatable. That is, when for any occupation, machines could be built to carry out the task better and more cheaply than human workers.In how many years do you expect full automation of labor, with small/even/high chance? - High chance (90%)"
"hj_a_comment","Do you have any comments on your interpretation of these questions? (optional)"
"hj_a_consider","Which considerations were important in your answers to these questions? (optional)"
"hj_b_time_First.Click","Timing - First Click"
"hj_b_time_Last.Click","Timing - Last Click"
"hj_b_time_Page.Submit","Timing - Page Submit"
"hj_b_time_Click.Count","Timing - Click Count"
"hj_b_jobs_1_1","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - Truck driver - % chance in 10 years"
"hj_b_jobs_1_2","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - Truck driver - % chance in 20 years"
"hj_b_jobs_1_3","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - Truck driver - % chance in 50 years"
"hj_b_jobs_2_1","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - Surgeon - % chance in 10 years"
"hj_b_jobs_2_2","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - Surgeon - % chance in 20 years"
"hj_b_jobs_2_3","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - Surgeon - % chance in 50 years"
"hj_b_jobs_3_1","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - Retail salesperson - % chance in 10 years"
"hj_b_jobs_3_2","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - Retail salesperson - % chance in 20 years"
"hj_b_jobs_3_3","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - Retail salesperson - % chance in 50 years"
"hj_b_jobs_4_1","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - AI researcher - % chance in 10 years"
"hj_b_jobs_4_2","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - AI researcher - % chance in 20 years"
"hj_b_jobs_4_3","1 of 7 Say an occupation becomes fully automatable when unaided machines can accomplish it better and more cheaply than human workers. Ignore aspects of occupations for which being a human is intrinsically advantageous, e.g. being accepted as a jury member. Think feasibility, not adoption.  We want to know how likely you think it is that the following present-day occupations will be fully automatable at future dates. Please tell us your best guess of the chance that they will be fully automatable within the next 10 years, within the next 20 years, and within the next 50 years. - AI researcher - % chance in 50 years"
"hj_b_final","What is an existing human occupation that you think will be among the final ones to be fully automatable?Remember to consider feasibility, not adoption."
"hj_b_final_pred_1","How likely do you think it is that this occupation will be fully automatable within the next 10/20/50 years? - 10 years"
"hj_b_final_pred_2","How likely do you think it is that this occupation will be fully automatable within the next 10/20/50 years? - 20 years"
"hj_b_final_pred_3","How likely do you think it is that this occupation will be fully automatable within the next 10/20/50 years? - 50 years"
"hj_b_full_1","Say we have reached ‘full automation of labor’ when all occupations are fully automatable. That is, when for any occupation, machines could be built to carry out the task better and more cheaply than human workers. How likely do you think it is that full automation of labor will happen within the next 10/20/50 years? - 10 years"
"hj_b_full_2","Say we have reached ‘full automation of labor’ when all occupations are fully automatable. That is, when for any occupation, machines could be built to carry out the task better and more cheaply than human workers. How likely do you think it is that full automation of labor will happen within the next 10/20/50 years? - 20 years"
"hj_b_full_3","Say we have reached ‘full automation of labor’ when all occupations are fully automatable. That is, when for any occupation, machines could be built to carry out the task better and more cheaply than human workers. How likely do you think it is that full automation of labor will happen within the next 10/20/50 years? - 50 years"
"hj_b_comment","Do you have any comments on your interpretation of these questions? (optional)"
"hj_b_consier","Which considerations were important in your answers to these questions? (optional)"
"ie_time_First.Click","Timing - First Click"
"ie_time_Last.Click","Timing - Last Click"
"ie_time_Page.Submit","Timing - Page Submit"
"ie_time_Click.Count","Timing - Click Count"
"ie_1_1","Assume that HLMI will exist at some point. How likely do you then think it is that the rate of global technological improvement will dramatically increase (e.g. by a factor of ten) as a result of machine intelligence: - Within two years of that point?"
"ie_1_2","Assume that HLMI will exist at some point. How likely do you then think it is that the rate of global technological improvement will dramatically increase (e.g. by a factor of ten) as a result of machine intelligence: - Within thirty years of that point?"
"ie_2_1","Assume that HLMI will exist at some point. How likely do you think it is that there will be machine intelligence that is vastly better than humans at all professions (i.e. that is vastly more capable or vastly cheaper): - Within two years of that point?"
"ie_2_2","Assume that HLMI will exist at some point. How likely do you think it is that there will be machine intelligence that is vastly better than humans at all professions (i.e. that is vastly more capable or vastly cheaper): - Within thirty years of that point?"
"ie_3","Some people have argued the following: If AI systems do nearly all research and development, improvements in AI will accelerate the pace of technological progress, including further progress in AI. Over a short period (less than 5 years), this feedback loop could cause technological progress to become more than an order of magnitude faster.How likely do you find this argument to be broadly correct?"
"ie_comment","Do you have any comments on your interpretation of these questions? (optional)"
"ie_consider","Which considerations were important in your answers to these questions? (optional)"
"hb_time_First.Click.1","Timing - First Click"
"hb_time_Last.Click.1","Timing - Last Click"
"hb_time_Page.Submit.1","Timing - Page Submit"
"hb_time_Click.Count.1","Timing - Click Count"
"Q1","For typical state-of-the-art AI systems in 2028, do you think it will be possible for users to know the true reasons for systems making a particular choice? By “true reasons” we mean the AI correctly explains its internal decision-making process in a way humans can understand. By “true reasons” we do not mean the decision itself is correct."
"hb_comment.1","Do you have any comments on your interpretation of this question? (optional)"
"hb_consider.1","Which considerations were important in your answers to this question? (optional)"
"Q368_First.Click","Timing - First Click"
"Q368_Last.Click","Timing - Last Click"
"Q368_Page.Submit","Timing - Page Submit"
"Q368_Click.Count","Timing - Click Count"
"Q369.1_1",""
"Q369.1_2",""
"Q369.1_3",""
"Q369.1_4",""
"Q369.1_5",""
"Q369.1_6",""
"Q369.1_7",""
"Q369.1_8",""
"Q369.1_9",""
"Q369.1_10",""
"Q369.1_11",""
"Q369.1_12",""
"Q369.1_12_TEXT",""
"Q369.2_1",""
"Q369.2_2",""
"Q369.2_3",""
"Q369.2_4",""
"Q369.2_5",""
"Q369.2_6",""
"Q369.2_7",""
"Q369.2_8",""
"Q369.2_9",""
"Q369.2_10",""
"Q369.2_11",""
"Q369.2_12",""
"Q369.2_12_TEXT",""
"Q370","Do you have any comments on your interpretation of this question? (optional)"
"Q371","Which considerations were important in your answers to this question? (optional)"
"vb_time_First.Click","Timing - First Click"
"vb_time_Last.Click","Timing - Last Click"
"vb_time_Page.Submit","Timing - Page Submit"
"vb_time_Click.Count","Timing - Click Count"
"vb_1_1","Assume for the purpose of this question that HLMI will at some point exist. How positive or negative do you expect the overall impact of this to be on humanity, in the long run? Please answer by saying how probable you find the following kinds of impact, with probabilities adding to 100%: - Extremely good (e.g. rapid growth in human flourishing)"
"vb_1_2","Assume for the purpose of this question that HLMI will at some point exist. How positive or negative do you expect the overall impact of this to be on humanity, in the long run? Please answer by saying how probable you find the following kinds of impact, with probabilities adding to 100%: - On balance good"
"vb_1_3","Assume for the purpose of this question that HLMI will at some point exist. How positive or negative do you expect the overall impact of this to be on humanity, in the long run? Please answer by saying how probable you find the following kinds of impact, with probabilities adding to 100%: - More or less neutral"
"vb_1_4","Assume for the purpose of this question that HLMI will at some point exist. How positive or negative do you expect the overall impact of this to be on humanity, in the long run? Please answer by saying how probable you find the following kinds of impact, with probabilities adding to 100%: - On balance bad"
"vb_1_5","Assume for the purpose of this question that HLMI will at some point exist. How positive or negative do you expect the overall impact of this to be on humanity, in the long run? Please answer by saying how probable you find the following kinds of impact, with probabilities adding to 100%: - Extremely bad (e.g. human extinction)"
"vb_comment","Do you have any comments on your interpretation of this question? (optional)"
"vb_consider","Which considerations were important in your answers to this question? (optional)"
"c_time_First.Click","Timing - First Click"
"c_time_Last.Click","Timing - Last Click"
"c_time_Page.Submit","Timing - Page Submit"
"c_time_Click.Count","Timing - Click Count"
"c_1","Imagine that over the past decade, only half as much researcher effort had gone into AI research. For instance, if there were actually 1,000 researchers, imagine that there had been only 500 researchers (of the same quality).How much less progress in AI capabilities would you expect to have seen?e.g. If you think progress is linear in the number of researchers, so 50% less progress would have been made, write '50'. If you think only 20% less progress would have been made write '20'."
"c_2","Over the last n years the cost of computing hardware has fallen by a factor of 20. Imagine instead that the cost of computing hardware had fallen by only a factor of 5 over that time (around half as far on a log scale). How much less progress in AI capabilities would you expect to have seen?e.g. If you think progress is linear in 1/cost, so that 1-5/20=75% less progress would have been made, write '75'. If you think only 20% less progress would have been made write '20'."
"c_3","Imagine that over the past decade, there had only been half as much effort put into increasing the size and availability of training datasets. For instance, perhaps there are only half as many datasets, or perhaps existing datasets are substantially smaller or lower quality.How much less progress in AI capabilities would you expect to have seen?e.g. If you think 20% less progress would have been made, write ‘20’"
"c_4","Imagine that over the past decade, AI research had half as much funding (in both academic and industry labs). For instance, if the average lab had a budget of $20 million each year, suppose their budget had only been $10 million each year. How much less progress in AI capabilities would you expect to have seen?e.g. If you think 20% less progress would have been made, write ‘20’"
"c_5","Imagine that over the past decade, there had been half as much progress in AI algorithms. You might imagine this as conceptual insights being half as frequent. How much less progress in AI capabilities would you expect to have seen?e.g. If you think 20% less progress would have been made, write ‘20’"
"c_comment","Do you have any comments on your interpretation of these questions? (optional)"
"c_consider","Which considerations were important in your answers to these question? (optional)"
"hh_time_First.Click","Timing - First Click"
"hh_time_Last.Click","Timing - Last Click"
"hh_time_Page.Submit","Timing - Page Submit"
"hh_time_Click.Count","Timing - Click Count"
"hh_area","4 of 7 Which AI research area have you worked in for the longest time?"
"hh_howlong","How long have you worked in this area?"
"hh_1","Consider three levels of progress or advancement in this area: A. Where the area was when you started working in itB. Where it is nowC. Where it would need to be for AI software to have roughly human level abilities at the tasks studied in this area  What fraction of the distance between where progress was when you started working in the area (A) and where it would need to be to attain human level abilities in the area (C) have we come so far (B)?"
"hh_2","Divide the period you have worked in the area into two halves: the first and the second. In which half was the rate of progress in your area higher?"
"hh_comment","Do you have any comments on your interpretation of these questions? (optional)"
"hh_consider","Which considerations were important in your answers to these questions? (optional)"
"ms_time_First.Click","Timing - First Click"
"ms_time_Last.Click","Timing - Last Click"
"ms_time_Page.Submit","Timing - Page Submit"
"ms_time_Click.Count","Timing - Click Count"
"ms_1","4 of 7 To what extent do you think you disagree with the typical AI researcher about when HLMI will exist?"
"ms_2","If you disagree, why do you think that is?"
"ms_3","To what extent do you think people's concerns about future risks from AI are due to misunderstandings of AI research?"
"ms_4","What do you think are the most important misunderstandings, if there are any?"
"ms_comment","Do you have any comments on your interpretation of these questions? (optional)"
"ms_consider","Which considerations were important in your answers to these questions? (optional)"
"hb_time_First.Click.2","Timing - First Click"
"hb_time_Last.Click.2","Timing - Last Click"
"hb_time_Page.Submit.2","Timing - Page Submit"
"hb_time_Click.Count.2","Timing - Click Count"
"Q1.1","What rate of global AI progress over the next five years would make you feel most optimistic for humanity's future? Assume any change in speed affects all projects equally."
"hb_comment.2","Do you have any comments on your interpretation of this question? (optional)"
"hb_consider.2","Which considerations were important in your answers to this question? (optional)"
"hb_time_First.Click.3","Timing - First Click"
"hb_time_Last.Click.3","Timing - Last Click"
"hb_time_Page.Submit.3","Timing - Page Submit"
"hb_time_Click.Count.3","Timing - Click Count"
"Q422.1_2","Traits- final - Q422#1 - Can talk like an expert human on most topics"
"Q422.1_16","Traits- final - Q422#1 - Make design improvements to increase their own performance regardless of human wishes"
"Q422.1_12","Traits- final - Q422#1 - Form collaborative relationships with other AI systems without this being intended by humans"
"Q422.1_7","Traits- final - Q422#1 - Sometimes deceive humans to achieve a goal without this being intended by humans"
"Q422.1_6","Traits- final - Q422#1 - Find unexpected ways to achieve goals"
"Q422.1_9","Traits- final - Q422#1 - Take actions to attain power"
"Q422.1_10","Traits- final - Q422#1 - Can be trusted to accurately explain their actions"
"Q422.1_11","Traits- final - Q422#1 - Can be 'jailbroken' to follow illegal commands"
"Q422.1_14","Traits- final - Q422#1 - Frequently behave in ways that are surprising to humans"
"Q422.1_15","Traits- final - Q422#1 - Are able to cause important actions in the world similarly to a human e.g. run a business, run an advocacy campaign"
"Q422.1_17","Traits- final - Q422#1 - Have goals not aligned with human goals"
"Q422.2_2","Traits- final - Q422#2 - Can talk like an expert human on most topics"
"Q422.2_16","Traits- final - Q422#2 - Make design improvements to increase their own performance regardless of human wishes"
"Q422.2_12","Traits- final - Q422#2 - Form collaborative relationships with other AI systems without this being intended by humans"
"Q422.2_7","Traits- final - Q422#2 - Sometimes deceive humans to achieve a goal without this being intended by humans"
"Q422.2_6","Traits- final - Q422#2 - Find unexpected ways to achieve goals"
"Q422.2_9","Traits- final - Q422#2 - Take actions to attain power"
"Q422.2_10","Traits- final - Q422#2 - Can be trusted to accurately explain their actions"
"Q422.2_11","Traits- final - Q422#2 - Can be 'jailbroken' to follow illegal commands"
"Q422.2_14","Traits- final - Q422#2 - Frequently behave in ways that are surprising to humans"
"Q422.2_15","Traits- final - Q422#2 - Are able to cause important actions in the world similarly to a human e.g. run a business, run an advocacy campaign"
"Q422.2_17","Traits- final - Q422#2 - Have goals not aligned with human goals"
"hb_comment.3","Do you have any comments on your interpretation of this question? (optional)"
"hb_consider.3","Which considerations were important in your answers to this question? (optional)"
"ta_time_First.Click","Timing - First Click"
"ta_time_Last.Click","Timing - Last Click"
"ta_time_Page.Submit","Timing - Page Submit"
"ta_time_Click.Count","Timing - Click Count"
"ta_1_1","Translate a text written in a newly discovered language into English as well as a team of human experts, using a single other document in both languages (like a Rosetta stone). Suppose all of the words in the text can be found in the translated document, and that the language is a difficult one. - small chance (10%)"
"ta_1_2","Translate a text written in a newly discovered language into English as well as a team of human experts, using a single other document in both languages (like a Rosetta stone). Suppose all of the words in the text can be found in the translated document, and that the language is a difficult one. - even chance (50%)"
"ta_1_3","Translate a text written in a newly discovered language into English as well as a team of human experts, using a single other document in both languages (like a Rosetta stone). Suppose all of the words in the text can be found in the translated document, and that the language is a difficult one. - high chance (90%)"
"ta_2_1","Translate speech in a new language given only unlimited films with subtitles in the new language. Suppose the system has access to training data for other languages, of the kind used now (e.g. same text in two languages for many languages and films with subtitles in many languages). - small chance (10%)"
"ta_2_2","Translate speech in a new language given only unlimited films with subtitles in the new language. Suppose the system has access to training data for other languages, of the kind used now (e.g. same text in two languages for many languages and films with subtitles in many languages). - even chance (50%)"
"ta_2_3","Translate speech in a new language given only unlimited films with subtitles in the new language. Suppose the system has access to training data for other languages, of the kind used now (e.g. same text in two languages for many languages and films with subtitles in many languages). - high chance (90%)"
"ta_3_1","Perform translation about as good as a human who is fluent in both languages but unskilled at translation, for most types of text, and for most popular languages (including languages that are known to be difficult, like Czech, Chinese and Arabic). - small chance (10%)"
"ta_3_2","Perform translation about as good as a human who is fluent in both languages but unskilled at translation, for most types of text, and for most popular languages (including languages that are known to be difficult, like Czech, Chinese and Arabic). - even chance (50%)"
"ta_3_3","Perform translation about as good as a human who is fluent in both languages but unskilled at translation, for most types of text, and for most popular languages (including languages that are known to be difficult, like Czech, Chinese and Arabic). - high chance (90%)"
"ta_4_1","Provide phone banking services as well as human operators can, without annoying customers more than humans. This includes many one-off tasks, such as helping to order a replacement bank card or clarifying how to use part of the bank website to a customer. - small chance (10%)"
"ta_4_2","Provide phone banking services as well as human operators can, without annoying customers more than humans. This includes many one-off tasks, such as helping to order a replacement bank card or clarifying how to use part of the bank website to a customer. - even chance (50%)"
"ta_4_3","Provide phone banking services as well as human operators can, without annoying customers more than humans. This includes many one-off tasks, such as helping to order a replacement bank card or clarifying how to use part of the bank website to a customer. - high chance (90%)"
"ta_5_1","Correctly group images of previously unseen objects into classes, after training on a similar labeled dataset containing completely different classes. The classes should be similar to the ImageNet classes. - small chance (10%)"
"ta_5_2","Correctly group images of previously unseen objects into classes, after training on a similar labeled dataset containing completely different classes. The classes should be similar to the ImageNet classes. - even chance (50%)"
"ta_5_3","Correctly group images of previously unseen objects into classes, after training on a similar labeled dataset containing completely different classes. The classes should be similar to the ImageNet classes. - high chance (90%)"
"ta_6_1","One-shot learning: see only one labeled image of a new object, and then be able to recognize the object in real world scenes, to the extent that a typical human can (i.e. including in a wide variety of settings). For example, see only one image of a platypus, and then be able to recognize platypuses in nature photos. The system may train on labeled images of other objects. Currently, deep networks often need hundreds of examples in classification tasks1, but there has been work on one-shot learning for both classification2 and generative tasks3.1 Lake et al. (2015). Building Machines That Learn and Think Like People2 Koch (2015). Siamese Neural Networks for One-Shot Image Recognition3 Rezende et al. (2016). One-Shot Generalization in Deep Generative Models - small chance (10%)"
"ta_6_2","One-shot learning: see only one labeled image of a new object, and then be able to recognize the object in real world scenes, to the extent that a typical human can (i.e. including in a wide variety of settings). For example, see only one image of a platypus, and then be able to recognize platypuses in nature photos. The system may train on labeled images of other objects. Currently, deep networks often need hundreds of examples in classification tasks1, but there has been work on one-shot learning for both classification2 and generative tasks3.1 Lake et al. (2015). Building Machines That Learn and Think Like People2 Koch (2015). Siamese Neural Networks for One-Shot Image Recognition3 Rezende et al. (2016). One-Shot Generalization in Deep Generative Models - even chance (50%)"
